"Are you sure you want to close without saving?";"Вы уверены, что хотите закрыть без сохранения?"
"Are you sure you want to delete this category and all its subcategories?";"Вы уверены, что хотите удалить эту категорию и все его подкатегории?"
"Description";"Описание"
"Description successfully saved.";"Описание успешно сохранено."
"Manage Topics";"Управление темами"
"No topics for now.";"На данный момент нет тем."
"Page description";"Описание страницы"
"Save";"Сохранить"
"Subscribe";"Подписаться"
